rank,name,frequency,sex,year
1,Noah,837,Male,2014
1,Noah,863,Male,2015
2,Alexander,747,Male,2014
2,Liam,709,Male,2015
3,William,687,Male,2014
3,Alexander,703,Male,2015
4,Michael,680,Male,2014
4,Jacob,650,Male,2015
5,Liam,670,Male,2014
5,William,618,Male,2015
6,Jacob,654,Male,2014
6,Michael,617,Male,2015
7,Benjamin,616,Male,2015
7,Benjamin,649,Male,2014
8,Daniel,601,Male,2015
8,Mason,604,Male,2014
9,Mason,594,Male,2015
9,Daniel,593,Male,2014
10,James,576,Male,2015
10,Logan,593,Male,2014
11,Logan,568,Male,2015
11,Ethan,579,Male,2014
12,Ethan,560,Male,2015
12,Anthony,564,Male,2014
13,Aiden,535,Male,2014
13,Aiden,547,Male,2015
14,Anthony,524,Male,2015
14,Jayden,530,Male,2014
15,Henry,514,Male,2015
15,Joseph,498,Male,2014
16,Oliver,502,Male,2015
16,James,486,Male,2014
17,Lucas,481,Male,2014
17,Jayden,480,Male,2015
18,Lucas,471,Male,2015
18,Henry,477,Male,2014
19,Jackson,469,Male,2014
19,Matthew,449,Male,2015
20,Jackson,447,Male,2015
20,David,467,Male,2014
21,Owen,446,Male,2015
21,Nathan,446,Male,2014
22,Elijah,445,Male,2014
22,Sebastian,433,Male,2015
23,Matthew,436,Male,2014
23,Carter,429,Male,2015
24,Andrew,433,Male,2014
24,Joseph,427,Male,2015
25,Isaac,421,Male,2015
25,John,432,Male,2014
26,Isaac,419,Male,2014
26,Elijah,413,Male,2015
27,John,412,Male,2015
27,Dylan,417,Male,2014
28,Jack,411,Male,2014
28,Dylan,403,Male,2015
29,Joshua,411,Male,2014
29,David,402,Male,2015
30,Julian,397,Male,2015
30,Owen,411,Male,2014
31,Julian,407,Male,2014
31,Jack,384,Male,2015
32,Gabriel,399,Male,2014
32,Nathan,382,Male,2015
33,Ryan,399,Male,2014
33,Samuel,379,Male,2015
34,Oliver,396,Male,2014
34,Andrew,377,Male,2015
35,Gabriel,375,Male,2015
35,Carter,393,Male,2014
36,Sebastian,380,Male,2014
36,Joshua,363,Male,2015
37,Charles,377,Male,2014
37,Christopher,349,Male,2015
38,Ryan,335,Male,2015
38,Luke,371,Male,2014
39,Jonathan,364,Male,2014
39,Caleb,331,Male,2015
40,Samuel,353,Male,2014
40,Jonathan,328,Male,2015
41,Charles,320,Male,2015
41,Christopher,340,Male,2014
42,Luke,308,Male,2015
42,Evan,326,Male,2014
43,Wyatt,301,Male,2015
43,Connor,314,Male,2014
44,Christian,299,Male,2015
44,Caleb,313,Male,2014
45,Christian,308,Male,2014
45,Thomas,299,Male,2015
46,Dominic,286,Male,2015
46,Thomas,306,Male,2014
47,Cameron,280,Male,2015
47,Nicholas,300,Male,2014
48,Adrian,279,Male,2015
48,Wyatt,300,Male,2014
49,Nolan,279,Male,2015
49,Hunter,298,Male,2014
50,Angel,278,Male,2015
50,Adrian,288,Male,2014
51,Nicholas,274,Male,2015
51,Angel,285,Male,2014
52,Connor,269,Male,2015
52,Cameron,278,Male,2014
53,Levi,268,Male,2015
53,Aaron,274,Male,2014
54,Hunter,267,Male,2015
54,Landon,266,Male,2014
55,Landon,265,Male,2015
55,Nolan,266,Male,2014
56,Jordan,263,Male,2014
56,Mateo,262,Male,2015
57,Kevin,261,Male,2014
57,Aaron,260,Male,2015
58,Gavin,258,Male,2014
58,Grayson,258,Male,2015
59,Adam,256,Male,2015
59,Adam,249,Male,2014
60,Isaiah,254,Male,2015
60,Brandon,247,Male,2014
61,Eli,237,Male,2014
61,Jordan,250,Male,2015
62,Evan,249,Male,2015
62,Parker,235,Male,2014
63,Isaiah,234,Male,2014
63,Leonardo,246,Male,2015
64,Jaxon,232,Male,2014
64,Leo,244,Male,2015
65,Levi,232,Male,2014
65,Jaxon,241,Male,2015
66,Tyler,227,Male,2014
66,Gavin,236,Male,2015
67,Josiah,235,Male,2015
67,Dominic,224,Male,2014
68,Josiah,224,Male,2014
68,Eli,223,Male,2015
69,Jeremiah,222,Male,2014
69,Theodore,220,Male,2015
70,Austin,220,Male,2014
70,Lincoln,218,Male,2015
71,Robert,210,Male,2014
71,Brandon,217,Male,2015
72,Cooper,204,Male,2014
72,Tyler,215,Male,2015
73,Brayden,208,Male,2015
73,Leonardo,203,Male,2014
74,Austin,205,Male,2015
74,Ian,202,Male,2014
75,Robert,205,Male,2015
75,Blake,200,Male,2014
76,Brayden,200,Male,2014
76,Emmett,204,Male,2015
77,Parker,204,Male,2015
77,Camden,200,Male,2014
78,Jeremiah,200,Male,2015
78,Zachary,198,Male,2014
79,Kevin,200,Male,2015
79,Damian,197,Male,2014
80,Jace,196,Male,2014
80,Colton,199,Male,2015
81,Vincent,196,Male,2014
81,Ian,199,Male,2015
82,Ayden,192,Male,2014
82,Vincent,198,Male,2015
83,Zachary,197,Male,2015
83,Leo,191,Male,2014
84,Chase,189,Male,2014
84,Chase,193,Male,2015
85,Ayden,187,Male,2015
85,Colton,188,Male,2014
86,Cooper,186,Male,2015
86,Grayson,186,Male,2014
87,Easton,183,Male,2015
87,Lincoln,186,Male,2014
88,Mateo,185,Male,2014
88,Declan,182,Male,2015
89,Jaxson,180,Male,2015
89,Jose,182,Male,2014
90,Xavier,175,Male,2015
90,Maxwell,181,Male,2014
91,Jace,172,Male,2015
91,Giovanni,178,Male,2014
92,Jason,177,Male,2014
92,Damian,171,Male,2015
93,Jose,171,Male,2015
93,Kayden,175,Male,2014
94,Kayden,171,Male,2015
94,Nathaniel,175,Male,2014
95,Patrick,169,Male,2015
95,Miles,174,Male,2014
96,Giovanni,168,Male,2015
96,Patrick,173,Male,2014
97,Hudson,167,Male,2015
97,Max,170,Male,2014
98,Camden,165,Male,2015
98,Brody,168,Male,2014
99,Max,164,Male,2015
99,Jaxson,168,Male,2014
100,Maxwell,155,Male,2015
100,George,166,Male,2014
101,Theodore,166,Male,2014
