,iso2,year,cases,sex,age
6,AD,1996,0.0,Male,0-14
7,AD,1997,0.0,Male,0-14
8,AD,1998,0.0,Male,0-14
9,AD,1999,0.0,Male,0-14
10,AD,2000,0.0,Male,0-14
11,AD,2001,0.0,Male,0-14
12,AD,2002,0.0,Male,0-14
13,AD,2003,0.0,Male,0-14
14,AD,2004,0.0,Male,0-14
15,AD,2005,0.0,Male,0-14
16,AD,2006,0.0,Male,0-14
18,AD,2008,0.0,Male,0-14
35,AE,1999,4.0,Male,0-14
36,AE,2000,2.0,Male,0-14
38,AE,2002,1.0,Male,0-14
39,AE,2003,2.0,Male,0-14
40,AE,2004,1.0,Male,0-14
42,AE,2006,0.0,Male,0-14
43,AE,2007,2.0,Male,0-14
44,AE,2008,0.0,Male,0-14
57,AF,1997,0.0,Male,0-14
58,AF,1998,30.0,Male,0-14
59,AF,1999,8.0,Male,0-14
60,AF,2000,52.0,Male,0-14
61,AF,2001,129.0,Male,0-14
62,AF,2002,90.0,Male,0-14
63,AF,2003,127.0,Male,0-14
64,AF,2004,139.0,Male,0-14
65,AF,2005,151.0,Male,0-14
66,AF,2006,193.0,Male,0-14
67,AF,2007,186.0,Male,0-14
68,AF,2008,187.0,Male,0-14
83,AG,1996,0.0,Male,0-14
87,AG,2000,0.0,Male,0-14
89,AG,2002,0.0,Male,0-14
90,AG,2003,0.0,Male,0-14
94,AG,2007,0.0,Male,0-14
114,AI,2004,0.0,Male,0-14
131,AL,1995,0.0,Male,0-14
133,AL,1997,0.0,Male,0-14
134,AL,1998,1.0,Male,0-14
135,AL,1999,0.0,Male,0-14
136,AL,2000,2.0,Male,0-14
137,AL,2001,3.0,Male,0-14
138,AL,2002,0.0,Male,0-14
139,AL,2003,0.0,Male,0-14
140,AL,2004,5.0,Male,0-14
141,AL,2005,0.0,Male,0-14
142,AL,2006,5.0,Male,0-14
143,AL,2007,0.0,Male,0-14
144,AL,2008,1.0,Male,0-14
160,AM,1995,1.0,Male,0-14
161,AM,1996,2.0,Male,0-14
162,AM,1997,2.0,Male,0-14
163,AM,1998,2.0,Male,0-14
164,AM,1999,4.0,Male,0-14
165,AM,2000,2.0,Male,0-14
166,AM,2001,2.0,Male,0-14
167,AM,2002,1.0,Male,0-14
168,AM,2003,12.0,Male,0-14
169,AM,2004,2.0,Male,0-14
170,AM,2005,3.0,Male,0-14
171,AM,2006,0.0,Male,0-14
172,AM,2007,1.0,Male,0-14
173,AM,2008,0.0,Male,0-14
174,AN,1996,0.0,Male,0-14
175,AN,1997,0.0,Male,0-14
176,AN,1998,0.0,Male,0-14
177,AN,1999,0.0,Male,0-14
178,AN,2000,0.0,Male,0-14
179,AN,2001,0.0,Male,0-14
180,AN,2002,0.0,Male,0-14
181,AN,2003,0.0,Male,0-14
182,AN,2004,1.0,Male,0-14
184,AN,2006,0.0,Male,0-14
202,AO,1995,386.0,Male,0-14
203,AO,1996,360.0,Male,0-14
204,AO,1997,419.0,Male,0-14
205,AO,1998,240.0,Male,0-14
206,AO,1999,391.0,Male,0-14
207,AO,2000,186.0,Male,0-14
208,AO,2001,230.0,Male,0-14
209,AO,2002,435.0,Male,0-14
210,AO,2003,409.0,Male,0-14
211,AO,2004,554.0,Male,0-14
212,AO,2005,520.0,Male,0-14
213,AO,2006,540.0,Male,0-14
214,AO,2007,484.0,Male,0-14
215,AO,2008,367.0,Male,0-14
232,AR,1996,113.0,Male,0-14
233,AR,1997,96.0,Male,0-14
234,AR,1998,84.0,Male,0-14
235,AR,1999,90.0,Male,0-14
236,AR,2000,97.0,Male,0-14
237,AR,2001,78.0,Male,0-14
238,AR,2002,70.0,Male,0-14
239,AR,2003,89.0,Male,0-14
240,AR,2004,64.0,Male,0-14
241,AR,2005,64.0,Male,0-14
242,AR,2006,67.0,Male,0-14
243,AR,2007,77.0,Male,0-14
244,AR,2008,69.0,Male,0-14
262,AS,1997,1.0,Male,0-14
289,AT,1995,4.0,Male,0-14
291,AT,1997,24.0,Male,0-14
293,AT,1999,0.0,Male,0-14
294,AT,2000,1.0,Male,0-14
295,AT,2001,1.0,Male,0-14
296,AT,2002,1.0,Male,0-14
297,AT,2003,0.0,Male,0-14
298,AT,2004,1.0,Male,0-14
299,AT,2005,1.0,Male,0-14
300,AT,2006,1.0,Male,0-14
301,AT,2007,1.0,Male,0-14
320,AU,1997,1.0,Male,0-14
321,AU,1998,0.0,Male,0-14
322,AU,1999,0.0,Male,0-14
323,AU,2000,3.0,Male,0-14
324,AU,2001,1.0,Male,0-14
325,AU,2002,1.0,Male,0-14
326,AU,2003,0.0,Male,0-14
327,AU,2004,0.0,Male,0-14
328,AU,2005,0.0,Male,0-14
329,AU,2006,1.0,Male,0-14
330,AU,2007,3.0,Male,0-14
331,AU,2008,2.0,Male,0-14
347,AZ,1995,0.0,Male,0-14
348,AZ,1996,0.0,Male,0-14
349,AZ,1997,0.0,Male,0-14
350,AZ,1998,0.0,Male,0-14
351,AZ,1999,0.0,Male,0-14
352,AZ,2000,0.0,Male,0-14
353,AZ,2001,3.0,Male,0-14
354,AZ,2002,6.0,Male,0-14
355,AZ,2003,3.0,Male,0-14
356,AZ,2004,8.0,Male,0-14
357,AZ,2005,77.0,Male,0-14
358,AZ,2006,6.0,Male,0-14
376,BA,1995,0.0,Male,0-14
377,BA,1996,5.0,Male,0-14
378,BA,1997,5.0,Male,0-14
379,BA,1998,1.0,Male,0-14
380,BA,1999,2.0,Male,0-14
